Field,Used in APEX,Used in VF,Used in LX,Used in WF/PB,Used in Reports / Dashboards,Used in Template
dsfs__DSProSFMembershipStatus__c,N,N,N,N,Y,N
dsfs__DSProSFUsername__c,N,Y,N,N,Y,N
Manage_Currencies__c,N,N,N,N,N,N
pi__Can_View_Not_Assigned_Prospects__c,N,N,N,N,Y,N
pi__Pardot_Api_Version__c,N,N,N,N,N,N
pi__Pardot_User_Role__c,N,N,N,N,Y,N
Price_Authority_Grade__c,Y,N,N,N,Y,N
Region__c,Y,N,N,N,Y,Y
Sales_User__c,Y,N,N,N,Y,N
SCMC__Notification_Type__c,N,N,N,N,N,N
talkdesk__IsLicensed__c,N,N,N,N,N,N
